user,text,refined
AdamMGrant,b'It\xe2\x80\x99s time for men to stop saying they advocate for women \xe2\x80\x9cas a father of daughters\xe2\x80\x9d and start saying they support w\xe2\x80\xa6 https://t.co/CjwIcRmmkF',It time men stop say advoc woman father daughter start say support w…
PrateekaKamath,"b""It's always wonderful to hear stories, and to get advice from a diverse group of strong independent professionals w\xe2\x80\xa6 https://t.co/grqiSQo23p""",it alway wonder hear stori get advic diver group strong independ profession w…
LeanInIndia,b'U can choose to introspect n realign your life. Everyone is unique n we can design the future we want to live!\xe2\x80\xa6 https://t.co/3wde0W98bl',U choos introspect n realign life everyon uniqu n design futur want live…
LeanInIndia,"b'""Never be afraid to break the invisible boundaries set by society. Never stop learning- @KhuranaSanya"" @LeanInOrg  https://t.co/yT04RQb3mt'",never afraid break invis boundari set societi never stop learning
LeanInIndia,"b""#Repost @leaninorg (@get_repost)\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nOn average, women are paid 46% less than men worldwide. Here's a look at the g\xe2\x80\xa6 https://t.co/rvtJY49Ixy""",repost On averag woman paid le men worldwid here look g…
SheThePeopleTV,b'Ayisha carried her licensed .32 bore pistol and fired the shots at the kidnappers in self-defence to save Asif. \nhttps://t.co/I3iUvFd4jD',ayisha carri licens bore pistol fire shot kidnapp selfdef save asif
LeanInIndia,"b'""Why Moms make the best Entrepreneurs""-TED Talk @LeanInOrg #leaningin https://t.co/IIbczVXSEy'",whi mom make best entrepreneurst talk leaningin
LeanInIndia,b'4 things to do to succeed on the first day of your internship https://t.co/M3n58D6CKM',thing succeed first day internship
LeanInIndia,b'Former Twitter CEO reveals the 2 traits you need to get hired by a top company https://t.co/OgyRDlrW93',former twitter ceo reveal trait need get hire top compani
LeanInIndia,"b'During commencement speech, Oprah reveals what she and Sheryl Sandberg Have in Common @jennajeeyoung https://t.co/awL8dC0ll3 via @Inc'",dure commenc speech oprah reveal sheryl sandberg have common via
LeanInIndia,b'Life Lessons from the Past Generation- An #ode to all unsung women who have trailed the blaze n #inspire generations https://t.co/WhFsWukqSt',life lesson past generation An ode unsung woman trail blaze n inspir gener
LeanInIndia,b'Bringing Women on a Career Break to the Table with Industry Mentors\n https://t.co/9KzvVVIDRx via @shethepeopletv',bring woman career break tabl industri mentor via
leaninbangalore,"b'Our Panelist -\nNeha Bagaria is an entrepreneur at heart, a Wharton grad, a wife, a mother-of-\xe2\x80\xa6 https://t.co/1y6WWHUi7q'",our panelist neha bagaria entrepreneur heart wharton grad wife motherof…
LeanInIndia,"b'""Create purpose for others""-Facebook Founder Mark Zuckerberg Commencement Address | Harvard Commence... https://t.co/yZ36jH1XMJ via @YouTube'",creat purpos othersfacebook founder mark zuckerberg commenc address harvard commenc via
KhuranaSanya,b'All those who are/have been Lean In Leaders in their campuses in India ... get in touch with me as soon as... https://t.co/bujBkhNCzJ',all are/hav lean In leader campus india get touch soon
leaninbangalore,"b""The Recruiter Told Me 'Your Standards Are Too High' via @forbes https://t.co/sbelqBoyRH""",the recruit told Me your standard are too high via
droidchef,"b'Who wants my Talk ""Roasting Google APIs on Firebase to create Uberritos""? @droidconbos Pls lyk dis tweet on twitter so I can speak in Boston'",who want talk roast googl api firebas creat uberrito pl lyk di tweet twitter I speak boston
LeanInIndia,b'A true wanderlust!27-Year-Old Woman To Become First Female Ever To Visit Every Country On Earth https://t.co/M1Xq1pHaIu via @boredpanda',A true wanderlust27yearold woman To becom first femal ever To visit everi countri On earth via
