user,mention_count
1AssortedLife,0
AdamMGrant,18
AlexWehrley,0
Always,0
Anand__Pillai,0
Android,0
AndroidDev,0
AnitaB_org,0
AnitaBorg_India,10
AnselElgort,0
AparnaS_16,0
BIZBoost,0
BeLeaderly,7
BeingSalmanKhan,0
BillGates,0
BjornKHaugland,0
CareerGodess1,0
ChromiumDev,0
ClaireShipman,0
CrwdfundCreativ,0
DamianoMe,0
Decentralised_M,0
DjangoGirlsBLR,0
Ec08Karan,9
EmmaWatson,0
EmpowerWomenRR,0
EvrydayFeminism,2
FLOTUS,0
FLOTUS44,0
FastCompany,2
FuzeUsWomen,0
GCPcloud,0
GeethaKan,2
GirlsWhoCode,0
GirlsinTech,0
Gopher_Assist,0
HansMVikdal,0
HappyFeminist,0
HillaryClinton,1
HuffPost,0
HuffPostIndia,0
HuffPostWomen,0
IBMcloud,7
IWITDoco,0
Innerveigdtuw,0
InnovasjonNorge,0
Jilfred,0
Jo_Miller,0
JohannaCronin,0
JustinTrudeau,0
KMac800,1
KattyKayBBC,1
KeertiGautam,0
Khushbu85751466,0
KrohnTraaseth,0
LDamour,0
LeanInCanada,2
LeanInDC,0
LeanInDallasOrg,0
LeanInIndia,7
LeanInLou,0
LeanInMSP,0
LeanInNYC,0
LeanInOrg,53
Lean_In_Tuks,0
Livestream,0
MAKERSwomen,2
MI4Garcetti,0
MN4Garcetti,0
ManagerCI,0
MightyNetworks,0
Minerva_Panda_,0
MsMagazine,0
NishGosrani,0
OneYoungWorld,0
Oprah,0
PMOIndia,0
POTUS,1
POTUS44,0
PragyaSarda,1
Priyank50770740,0
Prooffix,2
PyladiesIndia,1
RachelJSimmons,2
RiyaMRoy,0
SE_MN_LeanIN,0
SHERM8N,0
Sabatekle,0
SeanBeeson,0
SidGupta234,0
SiriouslySusan,0
SlideShare,2
Snowden,0
Spruke,0
StoryPicker,0
SurveyMonkey,0
TEDNews,0
TEDTalks,0
TED_TALKS,0
TEDxWomen,0
TINYpulse,0
Taarangana,0
TaskRabbit,0
TelleWhitney,1
ThePSF,0
TheSoulfulEMU,0
Theteamatx,0
TristanYLovell,0
TwitterOSS,0
UN_Women,1
Upworthy,0
Vamplordharsh,0
VibeCatch,0
WE_Empowered,0
WTM_Delhi,1
WWCodeGuzman,0
WWCodeParis,0
WWCode_Delhi,2
Wharton,0
WinSTEMplym,0
Windows,0
WolframResearch,1
Wolfram_Alpha,0
WomenTechmakers,1
WomenWhoCode,6
WomenintheWorld,0
Womenworking,0
WorkingWomanTV,0
YesYoureSexist,0
ZaypoProject,0
_4Programmer,0
_acehacker,0
_taarangana,0
_weboutsourcing,0
aamir_khan,0
abhishekangira,0
adityaom1993,3
adwords,0
alispagnola,0
allsweetness13,0
amandajanerosso,2
amo_ag13,1
amyjccuddy,4
anrah,1
aprasahney,33
apurvachawla1,1
ariannahuff,2
ash_r_dhanush,0
auniroy97,0
bikramnehra,13
bouali436,0
canney_marine,0
chrismoorelive,0
clouddelhi,48
cmdit,0
debjani_ghosh_,0
djangoproject,0
dkmf13,0
dougaled,0
due,0
ericschmidt,0
facebook,1
fbOpenSource,0
fbplatform,0
gdg_nd,0
ginatrapani,0
girldevelopit,1
girls_inc,0
girlsforachange,0
girlsleadership,1
girlslikemeinc,2
gmail,0
googleanalytics,1
googlecodejam,0
googledevs,0
googlestudents,0
gstorro,0
gsuite,0
guptaaparna,0
gvaibhavraj2,3
hack4_india,0
himalibajaj,0
iamsrk,0
iamthatgirl,0
illogicalindia,0
im_a_developer,0
innomag_no,0
inspotlight,0
irfanBshah,30
iyernil,2
jigyasa_grover,5
jishnugandhi,1
joelcomm,0
johnrampton,0
karanjohar,0
karthik_padman,2
kelseybhayes,0
kritika_sweet02,0
larryGoogle,0
lean_in_dc,1
leaninigdtuw,67
leaninumich,0
leolaporte,0
lisakardos,0
madhukishwar,1
mariakedemo,0
marissamayer,0
mboverell,0
megha00021,0
melrobbins,8
mentoringdevs,0
mesy_123,0
metalwihen,13
michbirdy,0
moblico,0
monabharadwaj,0
murriner,0
myriadbird,0
namratab94,3
nancysaini3,1
narendramodi,0
newcodemedia,0
nualafmurphy,1
olivercameron,0
paarth_gandhi,0
paulxmccarthy,0
polifeminine,0
poornima,0
potentialultd,0
prerna_killedar,0
priya_bansal_19,2
priyankachopra,0
rachelsklar,1
rajatrarora,0
rashmeet279,1
rikscr7,1
rm1sra,0
rm_wit,0
salaryfairy,0
sandrapowell1,0
santaponza,0
satyamevjayate,2
sheplusplus,0
sherylsandberg,7
smitapmishra,0
soumyajindal,0
steminist,0
stonebirdgames,0
superfitmummy,0
takeleadwomen,0
tanvinarang19,0
tedcoine,0
themanjain,0
theshaunagraham,0
tricksy0207,2
tux4kids,0
tweetytestbot,1
twitlive,0
udaykhurana,0
vivian_giang,1
voscercles,0
wogrammer,1
women2,0
womenbiz_rr,0
womenintech,0
womenintecuk,0
womensleadershp,1
work_adda,0
zefrosnbrick,1
