followeeName,retweet_similarity,mention_similarity,fav_similarity,TextualScore
AdamMGrant,0.22286583795496348,0.2183189957777495,0.21602881252043477,0.8334963697734573
amandajanerosso,0.2476905542710596,0.23401546623126782,0.2476905542710596,0.9250407392859281
amyjccuddy,0.24721076982942497,0.20232685501304792,0.23412018776576216,0.8670335867565643
AnitaBorg_India,0.1885130133787709,0.18906326698708878,0.19836781751363994,0.7304280997691054
anrah,0.2382322569523961,0.2382322569523961,0.2382322569523961,0.9063980448282207
aprasahney,0,0.12136784981387172,0,0.15392203555692335
ariannahuff,0.11195207648787432,0.16296678497898584,0.11195207648787432,0.4906403331617967
BeLeaderly,0.1938878152489639,0.19948273475570252,0.1938878152489639,0.7447771639383417
bikramnehra,0.0794088281591015,0.13869508599542518,0.0794088281591015,0.37731381886772175
clouddelhi,0.13792846691885774,0.12057520964710315,0.11383525040968401,0.47221043830852755
GeethaKan,0.22031343949512264,0.22031343949512264,0.20381087409563303,0.8172936316893626
girlsleadership,0.23627296010078477,0.23627296010078477,0.23627296010078477,0.8989435428298055
girlslikemeinc,0.1338033172729125,0.13123087839575576,0.18699293047716947,0.5732731978857323
googleanalytics,0.20150480111906968,0.20150480111906968,0.20150480111906968,0.766661744695305
irfanBshah,0.11707813663606355,0.12385004725256939,0.11707813663606355,0.4540334337463678
jigyasa_grover,0.1658408775794789,0.14144332198828288,0.20175887284182736,0.6455823845573225
KMac800,0.20510555716647097,0.20510555716647097,0.20510555716647097,0.7803614773974138
LeanInCanada,0.20572684752362325,0.20572684752362325,0.22109479423985653,0.8022153412855432
leaninigdtuw,0.17519777500306916,0.17297914807589987,0.17593062288339734,0.6646875630489322
LeanInIndia,0.23409869649747678,0.2156551912938241,0.22367435312140316,0.8540601633939
LeanInOrg,0.21222150081279295,0.19822477418425002,0.20191368062192136,0.7766116892320961
lean_in_dc,0.20872750271204088,0.20872750271204088,0.1693820855203123,0.7442428923062339
madhukishwar,0.1139872580820556,0.1139872580820556,0.1139872580820556,0.4336853001461935
MAKERSwomen,0.17460073083023395,0.17460073083023395,0.17460073083023395,0.6643003054020756
melrobbins,0.21781382187846893,0.22152530273880014,0.21798346679248803,0.8336345370088093
metalwihen,0.1279300969348035,0.11377777776235945,0.1279300969348035,0.468785012669984
nualafmurphy,0.20172628341011764,0.20172628341011764,0.2138049631473447,0.7828229273333427
POTUS,0.2628340366704405,0.2628340366704405,0.2628340366704405,1.0
priya_bansal_19,0.2275794626021188,0.22868822407870254,0.2275794626021188,0.8672737087198427
Prooffix,0.20641208848923692,0.20496813052695645,0.20496813052695645,0.7816698797854837
SlideShare,0.18343859554599384,0.18149389785845293,0.18149389785845293,0.6929929347367937
TelleWhitney,0.17047243705250262,0.17047243705250262,0.2169363467692405,0.7075202637900811
tricksy0207,0.17445874520431248,0.17445874520431248,0.18972760000658676,0.6831244756053699
UN_Women,0.23749864278130295,0.23749864278130295,0.23749864278130295,0.9036068759964114
womensleadershp,0.19194732093490846,0.19194732093490846,0.19194732093490846,0.7302985692662982
WomenTechmakers,0.1354730492103691,0.1354730492103691,0.12361771242677673,0.5003966455357357
WomenWhoCode,0.17075373075406014,0.17111582873920209,0.1556539713147035,0.630972985983287
WTM_Delhi,0.2553531766676706,0.2553531766676706,0.2553531766676706,0.9715377045624045
WWCode_Delhi,0.20340616251072607,0.19346530959779812,0.19195453757676748,0.7467652935980567
adityaom1993,,0.16091389508633142,0,0.3061131220384832
amo_ag13,,0.21303348356534627,,0.8105247184270217
apurvachawla1,,0.2149076950143684,0.20450661773831882,0.7978691003375982
