followeeName,Retweet_TopicScore,Mention_TopicScore,Fav_TopicScore,TopicScore
AdamMGrant,0.5609436953072083,0.6841844526872511,0.4749754760020689,0.6331602050540976
amandajanerosso,1.0,0.7166957276627355,1.0,1.0
amyjccuddy,0.2359459906932693,0.6666017359529656,0.3578368609455579,0.46394028405829013
AnitaBorg_India,0.046083881075844504,0.4204441084859643,0.26498999410745105,0.26926754300107403
anrah,0.37200082033279874,0.4765392323962306,0.2753400269854391,0.4136937634460007
ariannahuff,0.4388820663987892,0.6448625318738274,0.4607214309791121,0.5685090212809679
BeLeaderly,0.17851750566685454,0.6622355389918045,0.6815678851101333,0.5603575381180049
bikramnehra,0.13914599878600603,0.42429214650060554,0.23029068701515062,0.2921669969218944
clouddelhi,0.5494321856957145,0.3722170855148317,0.3995420197510568,0.48632288022121206
GeethaKan,0.2592746880131152,0.375642264051759,0.5662160372544176,0.44213011309612754
girlsleadership,0.4861811497123232,0.6301040886839813,0.541203010431963,0.6101118472528612
girlslikemeinc,0.10479051410918502,0.34260179135070373,0.32299484904263503,0.28357506019465556
googleanalytics,0.24348666650477027,0.361111494116512,0.2597477178249768,0.31816072357498965
irfanBshah,0.07599180797746277,0.3962179292635079,0.18298430589306014,0.24117314149778424
jigyasa_grover,0.6094445641840786,0.621679156069012,0.3992169428936522,0.6001189778250875
KMac800,0.5624882688588158,0.6470374626508021,0.5557472629327747,0.6497867893218635
LeanInCanada,0.35361676521920615,0.4600843484339314,0.4261736552215334,0.4563907382963998
leaninigdtuw,0.3348083326003555,0.8303479966865823,0.4403992247832527,0.5909957223849664
LeanInIndia,0.7487989419955062,0.7972834725410984,0.4638303923540535,0.7398372907295929
LeanInOrg,0.6319887877767065,0.8426764801203382,0.5816270593625079,0.7569093241916532
lean_in_dc,0.6495407090726093,0.7249548640892833,0.520143962412628,0.6974058656191662
madhukishwar,0.08340800440112525,0.2182305366723061,0.1874404967946013,0.18002716788928136
MAKERSwomen,0.0026555226438044256,0.14595199372984394,0.12535969818909481,0.10084574866926536
melrobbins,0.7382938809486771,0.6590924818060936,0.6284619149796214,0.7457030454703507
metalwihen,0.3835450022814248,0.3437425408532976,0.31336951230004745,0.38305984908000057
nualafmurphy,0.0,0.1435751341799206,0.3590753260644201,0.1850227300488994
POTUS,0.5450313840770261,0.4900503339784707,0.38351844037898924,0.5221785214993345
priya_bansal_19,0.5990504664491026,0.8514426204158835,0.6851773131873443,0.7861279341318504
Prooffix,0.2918886110811651,0.30624452851046324,0.2630366374932449,0.3169916190157101
SlideShare,0.46737143861896896,0.4610822540953042,0.2975343608542008,0.4512791186310852
TelleWhitney,0.17493150208657515,0.22465083043489242,0.27034190876305897,0.24659524232435293
tricksy0207,0.40557022319115477,0.42986846861856004,0.5223700848112164,0.49980156511274065
UN_Women,0.34914467135244137,0.4560815435472275,0.3917332212297562,0.4405938522821654
womensleadershp,0.4374612533292091,0.5351304312597166,0.5179306744569844,0.5486526679703865
WomenTechmakers,0.2977595173023949,0.5488482919482611,0.5490939712705285,0.5137497608986759
WomenWhoCode,0.6360584485306584,0.7128873941324914,0.48922417912888677,0.676619763882603
WTM_Delhi,0.7293238417480947,0.9071624353845831,0.685701106350398,0.8547837580180286
WWCode_Delhi,0.1828677364512033,0.7296255329944337,0.5872255282512968,0.5520378238998418
adityaom1993,0,0.2681195423474672,0,0.09869325431528522
amo_ag13,0,0.33031189219049273,0,0.12158589893858711
aprasahney,0,0.40318932034168825,0,0.148411659147624
apurvachawla1,0,0.4383933743741347,0.2826120093753281,0.26539791571350096
Ec08Karan,0,0.5715114829563971,0,0.21037007462300078
EvrydayFeminism,0,0.4505989530470964,0.18489647501106687,0.23392219510901993
facebook,0,0.34443105467711593,0,0.12678308106791242
FastCompany,0,0.5456120910392108,0.42199234659148094,0.3561696025720018
girldevelopit,0,0.4127248492001552,0,0.1519216322231405
gvaibhavraj2,0,0.08236551148765611,0.0,0.03031826886204806
HillaryClinton,0,0.7125357341668332,0.6120044152972381,0.48755557568591523
IBMcloud,0,0.3352741386795177,0.441154030322349,0.28579872272624873
