followeeName,Final_Content_Similarity,Final_User_Affinity,User-Followee_Behaviour
AdamMGrant,0.6618744418926343,0.3297483172373427,CC
amandajanerosso,1.0,0.020407765096088187,CC
amyjccuddy,0.690575547367032,0.045717490976490104,CC
AnitaBorg_India,0.5388993287051312,0.15236562286606184,CC
anrah,0.6371237707883173,0.015432640717978735,CC
ariannahuff,0.5848029394160615,0.020407765096088187,CC
BeLeaderly,0.6324702311569697,0.08711345234611258,CC
bikramnehra,0.47993530041571675,0.07513413325529217,NN
clouddelhi,0.4575897793516625,0.44468832309043016,NN
GeethaKan,0.44869378146851413,0.035767242220271195,NN
girlsleadership,0.6372466438442136,0.015432640717978735,CC
girlslikemeinc,0.4535219575048459,0.025309725880401913,NN
googleanalytics,0.60734349339868675,0.015432640717978735,CC
irfanBshah,0.37879938999657736,0.17507072480733588,NN
jigyasa_grover,0.6522944774977748,0.07520241927616818,CC
KMac800,0.6963593781411577,0.015432640717978735,CC
LeanInCanada,0.5404605123718424,0.04066920300458492,CC
leaninigdtuw,0.5449060460045336,1.0,BO
LeanInIndia,0.699460700789978,0.12142717783630867,CC
LeanInOrg,0.7970663477767012,0.6140083894254219,BO
lean_in_dc,0.6749019833940585,0.02033460150229246,CC
madhukishwar,0.5843073451470445,0.015432640717978735,CC
MAKERSwomen,0.6271035079782504,0.03086528143595747,CC
melrobbins,0.679696425405059,0.16561798848892792,CC
metalwihen,0.6092485478481224,0.09604916593503073,CC
nualafmurphy,0.33055459686252153,0.03504048385523364,NN
POTUS,0.5762403454595147,0.015432640717978735,CC
priya_bansal_19,0.6901880054033491,0.020407765096088187,CC
Prooffix,0.4789677874536835,0.025309725880401913,NN
SlideShare,0.5219525018959367,0.025309725880401913,CC
TelleWhitney,0.869582642280862,0.02033460150229246,CC
tricksy0207,0.6062812394789686,0.035767242220271195,CC
UN_Women,0.522125599066711,0.015432640717978735,CC
womensleadershp,0.600304592995588,0.015432640717978735,CC
WomenTechmakers,0.63412755809993,0.015432640717978735,CC
WomenWhoCode,0.7609781677104457,0.06547166130133646,CC
WTM_Delhi,0.8471191556942409,0.015432640717978735,CC
WWCode_Delhi,0.6392145639781412,0.03021168666471564,CC
adityaom1993,0.58705889950689151,0.01982733391864208,CC
amo_ag13,0.34303375959860943,0.004975124378109453,NN
aprasahney,0.14268075382489975,0.17953858160179495,NN
apurvachawla1,0.4843552862762629,0.009877085162423178,NN
Ec08Karan,0.74883266153363357,0.04477611940298507,CC
EvrydayFeminism,0.4923044690122672,0.019754170324846356,CC
facebook,0.6242986994264038,0.004975124378109453,CC
FastCompany,0.41540164592361234,0.01485220954053263,NN
girldevelopit,0.41237221614293773,0.004975124378109453,NN
gvaibhavraj2,0.65592541798604505,0.01982733391864208,CC
HillaryClinton,0.5971068665580452,0.009877085162423178,CC
IBMcloud,0.40572742936836725,0.03972783143107989,NN
iyernil,0.22305611107637824,0.009950248756218905,NN
jishnugandhi,0.0,0.004975124378109453,NN
karthik_padman,0.21317837011282761,0.009950248756218905,NN
KattyKayBBC,0.4746287757688329,0.009877085162423178,NN
namratab94,0.5474112561375486,0.03453321627158326,CC
nancysaini3,0.6471831391182539,0.004975124378109453,CC
PragyaSarda,0.62531162689563373,0.004975124378109453,CC
PyladiesIndia,0.4679517293698717,0.004975124378109453,NN
RachelJSimmons,0.5731857487985715,0.019754170324846356,CC
rachelsklar,0.3494461443137527,0.004975124378109453,NN
rashmeet279,0.7824221807024522,0.009877085162423178,CC
rikscr7,0.27175394463552255,0.004975124378109453,NN
satyamevjayate,0.5069931783559108,0.01485220954053263,CC
sherylsandberg,0.8321442599428989,0.03972783143107989,CC
tweetytestbot,0.6385099259106334,0.009877085162423178,CC
vivian_giang,0.33143316677061646,0.004975124378109453,NN
wogrammer,0.51630853239808343,0.004975124378109453,CC
WolframResearch,0.43159539397409674,0.009877085162423178,NN
zefrosnbrick,0.62369357140667013,0.004975124378109453,CC
Always,0.4591135088055521,0.004901960784313725,NN
Anand__Pillai,0.38660413917048514,0.00980392156862745,NN
AnitaB_org,0.08537756344013145,0.00980392156862745,NN
chrismoorelive,0.4425590971739201,0.004901960784313725,NN
DjangoGirlsBLR,0.6274214698751211,0.004901960784313725,CC
fbOpenSource,0.6060741474578867,0.004901960784313725,CC
ginatrapani,0.30309927606246173,0.004901960784313725,NN
im_a_developer,0.37479601454000994,0.004901960784313725,NN
