followeeName,retweet_similarity,mention_similarity,fav_similarity,TextualScore
acmDIS,0.07813229247417655,0.07672560181513073,0.07629885862559257,0.8134234938452596
AcmIgdtuw,0.06990835648777656,0.07129946767269454,0.06836031453323958,0.7374547592717033
ACMIUI,0.08493792699383838,0.08493792699383838,,0.8966708235524126
ACM_FCA,0.07861979797497275,0.07861979797497275,,0.8299717392779915
amit_p,0.08694577144148449,0.08694577144148449,,0.9178671912783
AndrewYNg,0.05594019897869744,0.06773846801065485,,0.6528241040851632
AnnCavoukian,0.07333480090033152,0.07333480090033152,,0.7741791993949024
anupamaa12,0.07061887506260685,0.06784402989038166,0.06944805503100349,0.7316232701242431
ashish_sureka,0.08160243841730769,0.08160243841730769,,0.8614588117371912
barabasi,0.0791866247896992,0.06967178187277612,,0.785732562700903
bgoncalves,0.0710953031145671,0.07152133700339909,,0.7527860914013804
ChaToX,0.07751969467393965,0.07751969467393965,,0.8183581931526943
chhavi_dua,0.08592494679836646,0.08592494679836646,0.08496054920944429,0.9036969286389551
Chinmayananda,0.0710095572529272,0.0710095572529272,,0.7496321188377173
chris_bail,0.0783297723602681,0.0783297723602681,,0.8269100033021727
cis_india,0.09211428065207743,0.09211428065207743,,0.9724299946621968
clauwa,0.08882009298374344,0.08882009298374344,,0.9376539873584688
contactkakkar,0.08089039058734973,0.06510445030379786,0.08089039058734973,0.7983923262630057
CSCegov_,0.057865358459474964,0.057865358459474964,,0.6108717325862796
DanielMRomero,0.04346991308294015,0.04346991308294015,,0.4589022141623413
DanielSolove,0.05785860464231865,0.05785860464231865,,0.6108004340391404
DataScience_PhD,0.07135741635999969,0.06855729700896301,,0.7385242712171946
devvarma,0.07478703082756727,0.0777388957883849,0.06489486441229625,0.765087661262948
DheerajSanghi,0.09045261496101462,0.07198765199614822,,0.8574229034405276
DinoPedreschi,0.07974348751318064,0.07703937750337424,,0.8275609357849009
drajaykumar_ias,0.07952774514909833,0.07952774514909833,,0.8395567358652561
DSCI_Connect,0.07311131908957447,0.06960779146515658,,0.7533269702182743
emilianoucl,0.07865441533781234,0.07865441533781234,,0.8303371870861166
