followeeName,Retweet_TopicScore,Mention_TopicScore,Fav_TopicScore,TopicScore
acmDIS,0.4798572271438404,0.5441989215091629,0.3989677260468552,0.5637200037261964
AcmIgdtuw,0.554446469565797,0.5258259185758736,0.708137946745079,0.7084650500744174
ACMIUI,0.588814062174263,0.649027705296282,0,0.49036153094628504
ACM_FCA,0.5513139971036434,0.3567257748199904,0,0.35971299759133707
amit_p,0.5482000418774794,0.5283007928348495,0,0.42644755674481016
AndrewYNg,0.2822185553594119,0.3790160484845195,0,0.2619430214559197
AnnCavoukian,0.8868153282121964,0.8409275230544981,0,0.6844320913163855
anupamaa12,0.4985444908412076,0.14641454578886143,0.5452357967167457,0.471486563098373
ashish_sureka,0.44626253379678665,0.30159057531008054,0,0.2962562785823179
barabasi,0.7723279430323264,0.3806764313467161,0,0.45675384775843303
bgoncalves,0.5340669251680337,0.3385394801601853,0,0.3456763409305963
ChaToX,0.8056368102281648,0.4895708811053669,0,0.5130866021054885
chhavi_dua,0.5507358649622888,0.4796639766749146,0.49022196202656826,0.6023826754194668
Chinmayananda,0.7490826099399789,0.7203948736274554,0,0.5821222449180024
chris_bail,0.8802346495657405,0.846524162651738,0,0.684042271787456
cis_india,0.4855693794156083,0.466973451365394,0,0.3773425433431216
clauwa,0.5860052190651192,0.5765813599411267,0,0.46054976469573067
contactkakkar,0.5045235438752701,0.7443457670385241,0.8124500921070751,0.8165758861894665
CSCegov_,0.3457805117307281,0.3182819651140506,0,0.2630632616760011
DanielMRomero,0.3181127853924413,0.3059299692599029,0,0.24720975538946824
DanielSolove,0.8619890135492048,0.7023200781673891,0,0.6196890598180551
DataScience_PhD,0.37017731503477114,0.368459506197556,0,0.29260531676266943
devvarma,0.5726298841909131,0.41690808725719214,1.0,0.788140222113061
DheerajSanghi,0.9909037151386526,0.7616956959993756,0,0.6942788270405096
DinoPedreschi,0.8536247178686718,0.37462607732777864,0,0.4865621407728555
drajaykumar_ias,0.7143010116114887,0.8525286046097553,0,0.6206875462864941
DSCI_Connect,0.47825750298609165,0.5500771644735012,0,0.40736689867158155
emilianoucl,0.6408793765584976,0.577425519927949,0,0.4826221492115429
eredmil1,0.655921382043811,0.7253300889026951,0,0.5471721860696173
euro_css,0.5329807382425458,0.5580691184048918,0,0.4322110402992951
futureofprivacy,0.26689714624192246,0.2566757436190972,0,0.2074093883250143
gboeing,0.3949344772398941,0.3874551281416016,0,0.309937646937947
GDanezis,0.5167594330494387,0.36528940483597305,0,0.34941688823339384
gianluca_string,0.2946697915565242,0.382313897899026,0,0.26818190104009987
godvinayak,0.7812379206383183,0.7513187272580154,0.7729117115495283,0.9132936244316817
goodfellow_ian,0.5497107806945027,0.5541483332697801,0,0.43728532943158727
himani_sharma9,0.33663013881370296,0.17606374637873676,0.0,0.20309975398834323
HRDMinistry,0.6743088506527555,0.5573504979910208,0,0.4879124131022165
IC2S2,0.6459734144768179,0.5453593908469897,0,0.47193736197709607
icwsm,0.7191005948809884,0.5864583904051858,0,0.5171871878857414
IEEEDSAA,0.7956362162035545,0.6970998182320802,0,0.5913359416206337
IIITDelhi,0.4099838542565011,0.45904101205548264,0.4528592907943137,0.5236542796070321
JaneYakowitz,0.7313049572567654,0.6048523044857487,0.6308689932739436,0.7792223781496853
jeffbigham,0.30884041464970946,0.37178968652153604,0,0.26962639909983377
jengolbeck,0.6043847637603363,0.3924023700757171,0,0.39486958496659197
jure,0.5066510815863606,0.3968354849841526,0,0.35790928018064455
KalamCenter,0.23916874081399653,0.3182232459030249,0.456855550067612,0.4017863898004605
kdnuggets,0.33441776753205393,0.25503654358276345,0,0.23350780852369943
knoesis,0.5866597221870989,0.253678061778383,0,0.3328933738432184
KristinaLerman,0.42261840225902875,0.5753475333848015,0,0.3953365582699123
ksd24497,0.47441562935182496,0.3839829738055532,0.5417705263351137,0.5546662715418538
lajello,0.7741992930745542,1.0,0,0.7028354547557769
LtGovDelhi,0.6519476859701844,0.6269799413496396,0.5501518457474313,0.7245758175283304
MaxCRoser,0.2930703139493083,0.5818083720815831,0,0.346576487519105
miriam_fs,0.6113903067032447,0.5879757945119378,0.6925896840015833,0.7494837867826675
msalganik,0.3296897010303967,0.5398054199498852,0,0.34444382947706764
MSFTResearch,0.647504679989618,0.5469348331047086,0,0.47316806045454957
mygovindia,0.8789070332306731,0.8141731167664006,0,0.6707007278190639
narendramodi,1.0,0.6685657913771706,0.735405189034365,0.9523146829290465
ndiakopoulos,0.5861853728677149,0.5637361380517649,0,0.45553259502205246
niharikasachdev,0.42043416982690796,0.4875511887751646,0,0.3596914421709547
niituniversity,0.6098461375166764,0.6069345706391122,0,0.482018353683784
nikitab,0.6978596499686246,0.5005569470070655,0,0.4747435517588641
PET_Symposium,0.2956516989095957,0.3747413778302857,0,0.2655710803148198
PMOIndia,0.39753498809060617,0.5479933814945213,0.6643011715749514,0.6377216370545487
ponguru,0.393816502047319,0.45539436839920355,0.40541790604938416,0.4970115759375011
prateekdewan,0.9412934161230352,0.3936450292784315,0.831712516847372,0.8583021762511851
PrivacyMatters,0.9006359869409435,0.6856259493147433,0.938083244496553,1.0
ProfFeynman,0.6559171982327578,0.48291375483024607,0.6059353244030865,0.6911757911594961
proffnes,0.7181210773288377,0.8056237084545893,0,0.6036198208556249
rachayita_giri,0.6081239219675084,0.6676470203278176,0.5995300250793447,0.7428861083157583
RachitUppal,0.3497250298888536,0.3277354666975412,0.3420409692202401,0.40386769352312973
random_walker,0.6522078475602108,0.7381541137449169,0,0.5507812370140316
rmsherman,0.7456595794005393,0.3291983573030882,0.8252935502935503,0.7527304512415945
rohan_iitj,0.459947191015758,0.2178758588182623,0.5094200263001261,0.47031724709706896
Ronald_vanLoon,0.2685490612357084,0.2582643949606188,0,0.20869311384718783
SagarJoglekar,0.41403260413812265,0.43730588343435456,0,0.33725121828179755
saravade,0.4807236540153639,0.495295935372278,0,0.38664268136927055
sigchi,0.5554600482273222,0.6448740761534996,0,0.4755031655469279
singh_prakash,0.42361538102427215,0.5146398040917295,0.3311778439039504,0.5028761671340322
smittal_ips,0.29212135969591013,0.28093394134310173,0,0.22701146634322203
socinformatics,0.3574536469541133,0.27247210631180313,0.4321264181219281,0.42072382948490394
Srishti_Gupta14,0.7700039749074203,0.4695546044380959,0.28920234924885846,0.6056069273928747
Straithe,0.6510817343048834,0.4096508424920588,0,0.4202010821994044
UKAISconference,0.37145947839043525,0.3572336354387397,0,0.2886661932707748
USENIXSecurity,0.0,0.0,0,0.0
VasuGhs,0.21290612873581582,0.2132692518898471,0.5339239874218221,0.3803360076775955
YathShar,0.5641838273922769,0.6148410737192741,0,0.4670616800354572
_DigitalIndia,0.35896089618470944,0.5963426092017902,0.670600345139768,0.6440893515370025
acm_ccs,0,0.45281248834502674,0,0.17937819748172923
acm_igdtuw,0,0.7772734818925078,0,0.30791093382121576
caosoriot,0,0.5049002416582307,0.5472356302451683,0.4167955634299858
CERCatIIITD,0,0.30839812130084876,0,0.12216955258430544
GoI_MeitY,0,0.5934820385987973,0,0.23510336190312264
Indiaacm,0,0.33018748121964453,0,0.13080124055033182
ingmarweber,0,0.438791287822152,0,0.17382380633515215
Innerveigdtuw,0,0.5883198801718271,0.16889297799424033,0.2999640714509664
mmoberoi,0,0.36294236488170445,0,0.14377683672149377
precog_iiitd,0,0.6688513081939919,0,0.26496032051950924
SIH2018,0,0.2609171021601479,0,0.10336031068556012
nemesismedusa,0,0,0.4489444493949484,0.1778459034913623
niharikakohli29,0,0,0.6523492929205217,0.2584231736192772
