user,text,refined
anupamaa12,b'Indira @drealcharbar presenting our work on detecting fake likes on Instagram at #WebSci18 \\cc @ponguru https://t.co/cJaRmx8YeN',indira present work detect fake like instagram websci18
ponguru,"b'Precogs @anupamaa12 &amp; @drealcharbar will present ""Worth its Weight in Likes: Towards Detecting Fake Likes on\xe2\x80\xa6 https://t.co/ZFiIKDlnKR'",precog toward detect fake like on…
ponguru,b'Vising Indian Institute of Information Technology and Management \xe2\x80\x93 #Kerala (IIITM-K) and speaking at Workshop on Wo\xe2\x80\xa6 https://t.co/KqXKH6LHoF',vise indian institut inform technolog manag kerala iiitmk speak workshop wo…
ponguru,b'Registration open for the Summer School on Social Computing https://t.co/iacpBVAyti Please help spread the word amo\xe2\x80\xa6 https://t.co/pt1e7eHfxF',registr open summer school social comput plea help spread word amo…
ponguru,"b'My TED talk ""Saving Lives: How Many Likes Is Your Life Worth?\xe2\x80\x9d on TEDx Talks @YouTube channel\xe2\x80\xa6 https://t.co/oWNa7jkHLU'",My ted talk save live how mani like Is your life worth tedx talk channel…
rohan_iitj,"b'Today I was attending a meeting on machine learning at IIT kharagpur. At the last phase of meeting, discussion on g\xe2\x80\xa6 https://t.co/2yMZTjFRvf'",today I attend meet machin learn iit kharagpur At last phase meet discus g…
ponguru,"b'Super thrilled to get the Outstanding Educator Award from #Classof2018. ""from the graduating batches of BTech and M\xe2\x80\xa6 https://t.co/s8YyEIFHGF'",super thrill get outstand educ award classof2018 graduat batch btech M…
LtGovDelhi,b'Chaired 2nd Court meeting of IGDTUW. Impressed with the remarkable progress made within such a short span. Advised\xe2\x80\xa6 https://t.co/ke4u8M90RD',chair court meet igdtuw impress remark progress made within short span advised…
ArsVed,b'@Srishti_Gupta14 and @abh1nav_khattar presenting their work on spam detection at #TheWebConf \\cc @ponguru https://t.co/LuIgJbZ8iP',present work spam detect thewebconf
rohan_iitj,b'This is incredible. https://t.co/qf0IcDDel8',thi incred
ProfFeynman,b'Teach principles not formulas.',teach principl formula
abh1nav_khattar,b'@ArsVed presenting the paper Stop the Killfies! #msm2018 \n\\cc @ponguru https://t.co/ybrsqY7mrY',present paper stop killfi msm2018
ponguru,"b'Will co-organize a #Summer #School on #Social #Computing @iiit_hyderabad 29 June - 3 July, 2018. Open to students,\xe2\x80\xa6 https://t.co/YIbO5NPuJB'",will coorgan summer school social comput june juli open students…
