user,mention_count
ACMIUI,2
ACMMobileHCI,0
ACMUIST,0
ACM_CSCW,0
ACM_FCA,3
ACSAC_Conf,0
AcmIgdtuw,16
AdamBatesOrg,0
Afrafrafra_j,0
AndrewYNg,2
AnnCavoukian,4
AshokaUniv,0
AsthaSingh2121,0
BillMcGev,0
CERCatIIITD,2
CSCegov_,1
CUSocialMedia,0
ChaToX,5
Chinmayananda,1
ComputerSociety,0
CyLab,0
DEFindia,0
DGSociety,0
DSCI_Connect,10
DanielMRomero,1
DanielSolove,1
DataScience_PhD,4
DeepMindAI,0
DheerajSanghi,3
DinoPedreschi,5
EPICprivacy,0
EnactusIGDTUW,0
FTC,0
FrancescoBonchi,0
GDanezis,1
GitHubEducation,0
GoI_MeitY,2
GoogleAI,0
HRDMinistry,4
IC2S2,7
IEEEDSAA,1
IEEEEUROSP,0
IEEESSP,0
IIITDelhi,25
Indiaacm,3
InfosecEditor,0
Innerveigdtuw,2
JamesCookUMA,0
JaneYakowitz,1
KalamCenter,6
KristinaLerman,2
LeadingindiaAI,0
LtGovDelhi,1
MSFTResearch,6
MaxCRoser,2
NDLIndia,0
NECSI,0
OsamaManzar,0
PET_Symposium,3
PFCdgayo,0
PHDcomics,0
PMOIndia,3
PrashanthBachu,0
PrivEcon,0
PrivacyMatters,7
ProfFeynman,8
ProfJenNeville,0
RachitUppal,3
Ronald_vanLoon,21
SIH2018,1
SPR_Illinois,0
SabrinaKirrane,0
SagarJoglekar,2
SebastianThrun,0
ShaileyMinocha,0
Shirastweet,0
Srishti_Gupta14,5
SrishtySaha1,0
Straithe,2
TVMohandasPai,0
Tanmoy_Chak,0
Toluolll,0
UKAISconference,1
USENIXSecurity,1
VasuGhs,8
YathShar,1
Yogiyog_chhavi,0
_DigitalIndia,12
_PreetiGoyal,0
abhishek_tula,0
acmDIS,3
acm_ccs,1
acm_igdtuw,7
acmtochi,0
adityagp,0
ajaysingholi,0
akash_gulati1,0
albertocairo,0
alighorbani,0
amit75200010,0
amit_p,1
andresmh,0
andrewmiller,0
anupamaa12,4
apanisson,0
apukapadia,0
ashish_sureka,2
ashk4n,0
aylin_cim,0
balzarot,0
barabasi,2
bgoncalves,30
bhecht,0
binitamshah,0
bkeegan,0
bluevincent,0
bobbyschnabel,0
bowlinearl,0
brendan642,0
caosoriot,1
ce_tucker,0
cfiesler,0
chhavi_dua,2
chris_bail,1
cis_india,1
clauwa,2
cmuhcii,0
contactkakkar,2
cphoffmann,0
danielequercia,0
datta_cs,0
devvarma,7
dinesh_ganotra,0
drajaykumar_ias,5
drsrinip,0
eegilbert,0
eisic2016,0
emilianoucl,1
eredmil1,2
erichorvitz,0
euro_css,2
fatconference,0
fbenevenuto,0
franziroesner,0
futureofprivacy,1
gabrielazanfir,0
gboeing,1
geoffmanne,0
gianluca_string,5
godvinayak,1
goodfellow_ian,4
guptsunil,0
hannawallach,0
harryshum,0
hemanklamba,0
hijip,0
himani_sharma9,1
icwsm,3
ingmarweber,1
integralyog,0
iswc2017,0
jeanqasaur,0
jeffbigham,2
jengolbeck,5
jigsaw2212,0
jtrevorhughes,0
jugander,0
jure,2
jvitak,0
karina_pika,0
karpathy,0
katecrawford,0
kdnuggets,4
knoesis,1
korolova,0
ksd24497,2
lajello,2
leaninigdtuw,0
lizlawley,0
lorrietweet,0
madhukishwar,0
mahtoanil1,0
masade,0
meghaarora42,0
michaelzimmer,0
miriam_fs,1
ml_india,0
mmoberoi,2
mnkvachher,0
msalganik,2
msbernst,0
munmun10,0
mygovindia,1
narendramodi,11
narseo,0
ndiakopoulos,8
nekozzang,0
nemesismedusa,0
netsci15,0
nicknikiforakis,0
niharikakohli29,2
niharikasachdev,6
niituniversity,1
nikitab,1
nishanthsastry,0
nrchandan,0
omertene,0
pari_lakshya,0
patrickgage,0
pbsloep,0
pgildersleve,0
pmddomingos,0
ponguru,113
portokalidis,0
prateekdewan,14
prateekmittal_,0
precog_iiitd,8
proffnes,1
pstamara,0
pure_soul,0
rachayita_giri,5
random_walker,7
ravenben,0
reyammer,0
rmsherman,2
rohan_iitj,3
rzafarani,0
santo_fortunato,0
saravade,7
schneierblog,0
scottbateman,0
scyrusk,0
securityprivacy,0
seemohan,0
shaunlawson,0
sig_chi,0
sigchi,2
singh_prakash,2
smittal_ips,1
socdatalab,0
socinformatics,16
ssnstudy,0
stanfordnlp,0
sumitarya007,0
tamaradenning,0
tavleen_singh,0
thesocsciences,0
timbarker,0
torproject,0
vinayaksn,0
wrightmk,0
yoshi_kohno,0
zephoria,0
