user,text,refined
David_Alaba,"b'We gave it our all, but unfortunately it was not enough yesterday. The result is hard to take for us but we\xe2\x80\x99ll boun\xe2\x80\xa6 https://t.co/jCCuSyvDu0'",We gave unfortun enough yesterday the result hard take u we’ll boun…
FranckRibery,b'We came to Bernabeu to make it to the final. We gave everything we had and still the journey ends here. Thank you f\xe2\x80\xa6 https://t.co/mn63ycLCNw',We came bernabeu make final We gave everyth still journey end thank f…
FCBayern,"b""Jubeln, hadern, antreiben, dirigieren. \xf0\x9f\x91\x89\xf0\x9f\x92\xaa\xf0\x9f\x91\x8f\n#Heynckes' #UCL-Kreis schlie\xc3\x9ft sich. \n\xe2\x9e\xa1 https://t.co/9zUMBSf8qa #RMAFCB\xe2\x80\xa6 https://t.co/PKKCGqTxfe""",jubeln hadern antreiben dirigieren heynck uclkrei schließt sich rmafcb…
matshummels,"b'Tough night for us, still hard to accept https://t.co/EjXYeuzS1s'",tough night u still hard accept
philipplahm,b'Official handover of the Bid-Book to the @UEFA. We are completely convinced that we have submitted a strong applica\xe2\x80\xa6 https://t.co/tq07A8K02v',offici handov bidbook We complet convinc submit strong applica…
archanaserver,b'Had an interactive session on Sunday at @innov8cowork!\nThank you @WTM_Delhi and @gdg_nd  for the opportunity also f\xe2\x80\xa6 https://t.co/738iwlk14Q',had interact session sunday thank opportun also f…
NipsConference,b'The NIPS executive board is currently discussing the possibility of changing the name of the NIPS conference. At th\xe2\x80\xa6 https://t.co/OnhxkpyOTU',the nip execut board current discus possibl chang name nip confer At th…
philipplahm,"b'Congratulations on the sixth German Championship in a row, @FCBayern! Great match and a completely deserved title \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'",congratul sixth german championship row great match complet deserv titl
humblethepoet,"b""thick skin doesn't just block out the hate, it blocks out the love too, and everything else people throw your way\n\nit's okay to feel shit""",thick skin doesnt block hate block love everyth el peopl throw way okay feel shit
random_forests,"b""We're beginning to update tutorials on https://t.co/BsLdHtNezs to link directly to Colab notebooks. Read about a co\xe2\x80\xa6 https://t.co/vstwNBv319""",were begin updat tutori link directli colab notebook read co…
goodfellow_ian,"b""In the first paper about adversarial examples, we focused on imperceptible perturbations. Since 2014, we've worked\xe2\x80\xa6 https://t.co/ob8sA4VRbs""",In first paper adversari exampl focus impercept perturb sinc weve worked…
WiMLDS_Delhi,b'A look back at Machine Learning Unplugged - The launch event of WiMLDS Delhi Chapter!\n\nhttps://t.co/lXEpX6FiPX\xe2\x80\xa6 https://t.co/CVgBr8Ixej',A look back machin learn unplug the launch event wimld delhi chapter
goodfellow_ian,"b""I'm frustrated with how much conflict / unjustified demand for credit there is in deep learning today. Someone wrot\xe2\x80\xa6 https://t.co/EN4U0Snf8J""",Im frustrat much conflict unjustifi demand credit deep learn today someon wrot…
philipplahm,b'Heute durfte ich beim L\xc3\xa4nderspiel Deutschland gegen Spanien in meiner Rolle als EM-Botschafter viele spannende Them\xe2\x80\xa6 https://t.co/g6QSiXO7iz',heut durft ich beim länderspiel deutschland gegen spanien meiner roll al embotschaft viel spannend them…
MiloVentimiglia,b'Real proud Molly :) Mi https://t.co/tUlF4FoiS5',real proud molli Mi
goodfellow_ian,"b'.@harinidkannan , @alexey2004 and I will do an AMA on Adversarial Logit Pairing, the state of the art defense again\xe2\x80\xa6 https://t.co/2fCZyfZINO'",I ama adversari logit pair state art defens again…
ChampionsLeague,b'QUIZ: Which final &amp; what was the score? \xf0\x9f\xa4\x94\n\n#UCL https://t.co/41QO2MyjNe',quiz which final amp score ucl
JadejaDA,b'#WomenTechmakers at India Cloud Community Connect at #Gurgaon. https://t.co/DnfRDAXQYS',womentechmak india cloud commun connect gurgaon
WiMLDS_Delhi,b'Prerna Khurana is a @IIITDelhi alumni and is currently working at @TCS Research. She talks about using LSTMs for FA\xe2\x80\xa6 https://t.co/xozeLTFXUy',prerna khurana alumnus current work research she talk use lstm fa…
