user,mention_count
AnitaB_org,0
AnubhaKushwaha1,0
ArjenRobben,0
BrihiJ,1
ChampionsLeague,0
CodessForum,5
David_Alaba,0
DerpGuy9001,0
EmmaWatson,0
Evy_Lynch,0
FCBayern,2
FCBayernEN,0
FranckRibery,0
GoAbiAryan,0
Google,0
HarryPotterFilm,0
IBMResearch,0
IISuperwomanII,0
I_am_Baani,0
JB17Official,0
JadejaDA,1
MSFTResearch,0
Madhavspeaks,2
MiloVentimiglia,0
NipsConference,0
Snigdhaa15,0
TeamSuperDillii,2
TensorFlow,0
WITWomen,0
WTM_Delhi,1
WWCode_Delhi,1
WiMLDS_Delhi,0
WiMLworkshop,0
Yuryu,0
__chauhan,0
alexey2004,0
awscloud,0
bethgelab,0
crowd_ai,0
douglas_eck,0
dtu_ieee,0
edsheeran,2
esmuellert_,0
fermatslibrary,0
gdg_nd,1
ghc,0
goodfellow_ian,1
googleresearch,0
googlestudents,0
hugo_larochelle,0
icmlconf,0
jigyasa_grover,0
jk_rowling,0
kathitagoel,0
kunalkkapoor,0
ledell,0
lewy_official,0
lifeatgoogle,0
matshummels,0
msdhoni,0
nikhil__mishra,0
nishtha_madaan,0
notrandomatalll,0
philipplahm,2
pottermore,0
pragyakalee,0
priyal_aggarwal,0
random_forests,0
rohantaneja_,0
shilpi_c75,0
sritianne,0
systers_org,0
thefarzibatman,0
thisIsRGupta,0
vipulallen,0
whomahima,0
wielandbr,0
wimlds,0
womenintech,0
wwbookclub,0
youngmonk_,0
